epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
149,234.495,1.75055,0.73497,0.95893,0.99129,0.99791,0.995,0.57997,1.53363,0.76846,0.93372,0.000852837,0.000852837,0.000852837
150,236.268,1.6768,0.72182,0.97195,0.99129,0.99791,0.995,0.57997,1.53363,0.76846,0.93372,0.000847336,0.000847336,0.000847336
151,238.025,1.53183,0.73524,1.03878,0.99129,0.99791,0.995,0.57997,1.53363,0.76846,0.93372,0.000841835,0.000841835,0.000841835
152,240.642,1.47741,0.7406,0.90989,0.99137,0.99821,0.995,0.57159,1.52473,0.73656,0.93367,0.000836334,0.000836334,0.000836334
153,242.415,1.59281,0.7053,0.93746,0.99137,0.99821,0.995,0.57159,1.52473,0.73656,0.93367,0.000830833,0.000830833,0.000830833
154,243.733,1.57942,0.70133,0.96196,0.99137,0.99821,0.995,0.57159,1.52473,0.73656,0.93367,0.000825332,0.000825332,0.000825332
155,245.493,1.56361,0.71575,0.93076,0.99137,0.99821,0.995,0.57159,1.52473,0.73656,0.93367,0.000819831,0.000819831,0.000819831
156,248.968,1.4901,0.68335,0.94657,0.99256,0.99408,0.995,0.57715,1.52586,0.72906,0.93495,0.000814329,0.000814329,0.000814329
157,250.872,1.48501,0.68311,0.96129,0.99256,0.99408,0.995,0.57715,1.52586,0.72906,0.93495,0.000808828,0.000808828,0.000808828
158,252.641,1.67249,0.70046,0.956,0.99256,0.99408,0.995,0.57715,1.52586,0.72906,0.93495,0.000803327,0.000803327,0.000803327
159,254.243,1.48138,0.70645,0.90217,0.99256,0.99408,0.995,0.57715,1.52586,0.72906,0.93495,0.000797826,0.000797826,0.000797826
160,256.823,1.62207,0.72864,1.04994,0.99087,0.99621,0.995,0.59495,1.48292,0.72839,0.92305,0.000792325,0.000792325,0.000792325
161,258.616,1.49316,0.65941,0.92144,0.99087,0.99621,0.995,0.59495,1.48292,0.72839,0.92305,0.000786824,0.000786824,0.000786824
162,261.004,1.58398,0.71666,0.92806,0.99087,0.99621,0.995,0.59495,1.48292,0.72839,0.92305,0.000781323,0.000781323,0.000781323
163,262.757,1.58481,0.7038,0.9431,0.99087,0.99621,0.995,0.59495,1.48292,0.72839,0.92305,0.000775822,0.000775822,0.000775822
164,265.636,1.56489,0.68517,0.94573,0.99132,1,0.995,0.58252,1.51533,0.70951,0.92965,0.000770321,0.000770321,0.000770321
165,267.497,1.47234,0.67731,0.902,0.99132,1,0.995,0.58252,1.51533,0.70951,0.92965,0.00076482,0.00076482,0.00076482
166,269.876,1.59607,0.69367,1.00005,0.99132,1,0.995,0.58252,1.51533,0.70951,0.92965,0.000759318,0.000759318,0.000759318
167,271.592,1.50189,0.69112,0.90183,0.99132,1,0.995,0.58252,1.51533,0.70951,0.92965,0.000753817,0.000753817,0.000753817
168,274.323,1.62211,0.75646,0.93993,0.9914,0.99869,0.995,0.56917,1.5496,0.70453,0.94187,0.000748316,0.000748316,0.000748316
169,276.218,1.56602,0.71986,0.94183,0.9914,0.99869,0.995,0.56917,1.5496,0.70453,0.94187,0.000742815,0.000742815,0.000742815
170,277.958,1.59401,0.74173,0.90366,0.9914,0.99869,0.995,0.56917,1.5496,0.70453,0.94187,0.000737314,0.000737314,0.000737314
171,280.467,1.47595,0.69607,0.92083,0.9914,0.99869,0.995,0.56917,1.5496,0.70453,0.94187,0.000731813,0.000731813,0.000731813
172,283.273,1.5237,0.7124,0.91315,0.99485,0.99649,0.995,0.568,1.51729,0.69348,0.93948,0.000726312,0.000726312,0.000726312
